Date,Description,Debit,Credit,Balance,Reference
01-10-2025,Salary Credit,0,75000,175000,SAL-001
03-10-2025,UPI/Swiggy Lunch,480,0,174520,UPI-001
04-10-2025,Uber Ride,260,0,174260,UPI-002
06-10-2025,Electricity Bill,2100,0,172160,BILL-001
09-10-2025,Amazon Shopping,3200,0,168960,UPI-003
12-10-2025,Mutual Fund SIP,5000,0,163960,SIP-001
15-10-2025,Freelance Project Payment,0,18000,181960,FRE-001
19-10-2025,Zomato Dinner,950,0,181010,UPI-004
22-10-2025,Petrol Pump,2100,0,178910,CARD-001
27-10-2025,Internet Bill,1200,0,177710,BILL-002
01-11-2025,Salary Credit,0,76000,253710,SAL-002
03-11-2025,UPI/Restaurant Dinner,1400,0,252310,UPI-005
05-11-2025,Mobile Recharge,899,0,251411,BILL-003
08-11-2025,Flipkart Electronics,8400,0,243011,UPI-006
11-11-2025,Train Ticket,1650,0,241361,TRN-001
14-11-2025,Freelance Project Payment,0,12000,253361,FRE-002
18-11-2025,Cafe Coffee,420,0,252941,UPI-007
21-11-2025,Electricity Bill,1950,0,250991,BILL-004
24-11-2025,Amazon Shopping,2500,0,248491,UPI-008
27-11-2025,UPI Transfer to Friend,3000,0,245491,UPI-009
01-12-2025,Salary Credit,0,76000,321491,SAL-003
02-12-2025,Movie Tickets,1200,0,320291,CARD-002
06-12-2025,Grocery Store,3400,0,316891,UPI-010
09-12-2025,Internet Bill,1200,0,315691,BILL-005
11-12-2025,Uber Ride,290,0,315401,UPI-011
16-12-2025,Mutual Fund SIP,5000,0,310401,SIP-002
20-12-2025,Food Delivery,780,0,309621,UPI-012
23-12-2025,Flight Ticket,9500,0,300121,TRV-001
26-12-2025,Gift Shopping,6200,0,293921,UPI-013
29-12-2025,Freelance Project Payment,0,20000,313921,FRE-003
01-01-2026,Salary Credit,0,78000,391921,SAL-004
03-01-2026,Rent Payment,18000,0,373921,RENT-001
07-01-2026,Petrol Pump,2200,0,371721,CARD-003
10-01-2026,Electricity Bill,2300,0,369421,BILL-006
14-01-2026,Medical Store,1900,0,367521,MED-001
18-01-2026,Cafe Coffee,620,0,366901,UPI-014
21-01-2026,Amazon Shopping,3900,0,363001,UPI-015
24-01-2026,Train Ticket,1450,0,361551,TRN-002
27-01-2026,UPI Transfer to Friend,2500,0,359051,UPI-016
30-01-2026,Freelance Project Payment,0,14000,373051,FRE-004
